id,email,password,first_name,last_name,phone_number,traveller_type,bio,friends
,,,,,,,,
1744328462085,wendy@gmail.com,Wendy123!,Wendy,Wanderer,123-456-7890,Solo Traveler,I love spontaneous and adventurous trips! ,
1744328682128,nick@gmail.com,Nick123!,Nick,Niche,403-123-4567,Local Traveler,I love finding hidden gems in Calgary!,
1744328682129,1,1,Test,Test,403-123-4569,Local Traveler,,
1744330462013,test@gmail.com,Test123!,Test,Test,123-456-7890,Solo Traveler,,
1744330555146,test1@gmail.com,Test123!,T,T,123-456-7890,Solo Traveler,,
1744331194745,test123@gmail.com,Test123!,Test,Test,123-456-7890,Solo Traveler,,
1744331499662,test11@gmail.com,Test123!,T,T,123-456-7890,Retiree Traveler,,
1744336047355,1@gmail.com,Test123!,A,A,123-456-7890,,,
1744336553713,test111@gmail.com,Test123!,,,,,,
1744337179030,test11111@gmail.com,Test123!,,,,,,
1744337288707,test1231@gmail.com,Test123!,A,B,123-456-7890,Retiree Traveler,,
